Название,Название в оригинале,Год,Продолжительность,Страна,Жанр,Режиссер,Рейтинг,Ссылка
Джерри Магуайер,Jerry Maguire,1996,139,США,драма,Кэмерон Кроу,7.4,https://www.kinopoisk.ru/film/4561/
Тайны и ложь,Secrets & Lies,1996,142,Великобритания,драма,Майк Ли,7.4,https://www.kinopoisk.ru/film/6775/
Храброе сердце,Braveheart,1995,178,США,история,Мэл Гибсон,8.3,https://www.kinopoisk.ru/film/399/
Разум и чувства,Sense and Sensibility,1995,136,Великобритания,драма,Энг Ли,7.9,https://www.kinopoisk.ru/film/6148/
Аполлон 13,Apollo 13,1995,140,США,драма,Рон Ховард,7.7,https://www.kinopoisk.ru/film/2217/
Почтальон,Il postino,1994,113,Италия,драма,Майкл Рэдфорд,7.1,https://www.kinopoisk.ru/film/36136/
Бэйб: Четвероногий малыш,Babe,1995,91,Австралия,драма,Крис Нунен,7.0,https://www.kinopoisk.ru/film/3829/
Побег из Шоушенка,The Shawshank Redemption,1994,142,США,драма,Фрэнк Дарабонт,9.1,https://www.kinopoisk.ru/film/326/
Форрест Гамп,Forrest Gump,1994,142,США,драма,Роберт Земекис,8.9,https://www.kinopoisk.ru/film/448/
Криминальное чтиво,Pulp Fiction,1994,154,США,криминал,Квентин Тарантино,8.7,https://www.kinopoisk.ru/film/342/
Телевикторина,Quiz Show,1994,133,США,драма,Роберт Редфорд,7.2,https://www.kinopoisk.ru/film/4321/
Четыре свадьбы и одни похороны,Four Weddings and a Funeral,1993,117,Великобритания,мелодрама,Майк Ньюэлл,7.1,https://www.kinopoisk.ru/film/6151/
Список Шиндлера,Schindler's List,1993,195,США,драма,Стивен Спилберг,8.8,https://www.kinopoisk.ru/film/329/
Беглец,The Fugitive,1993,130,США,боевик,Эндрю Дэвис,7.9,https://www.kinopoisk.ru/film/3915/
Во имя отца,In the Name of the Father,1993,133,Ирландия,драма,Джим Шеридан,7.8,https://www.kinopoisk.ru/film/4885/
Пианино,The Piano,1992,121,Австралия,драма,Джейн Кэмпион,7.8,https://www.kinopoisk.ru/film/3663/
На исходе дня,The Remains of the Day,1993,134,Великобритания,драма,Джеймс Айвори,7.4,https://www.kinopoisk.ru/film/6154/
Запах женщины,Scent of a Woman,1992,156,США,драма,Мартин Брест,8.4,https://www.kinopoisk.ru/film/4871/
Несколько хороших парней,A Few Good Men,1992,138,США,триллер,Роб Райнер,7.8,https://www.kinopoisk.ru/film/1588/
Непрощенный,Unforgiven,1992,131,США,вестерн,Клинт Иствуд,7.8,https://www.kinopoisk.ru/film/451/
Говардс-Энд,Howards End,1991,142,Великобритания,драма,Джеймс Айвори,7.1,https://www.kinopoisk.ru/film/7740/
Жестокая игра,The Crying Game,1992,112,Великобритания,триллер,Нил Джордан,7.0,https://www.kinopoisk.ru/film/4774/
Молчание ягнят,The Silence of the Lambs,1990,118,США,триллер,Джонатан Демме,8.3,https://www.kinopoisk.ru/film/345/
Красавица и чудовище,Beauty and the Beast,1991,84,США,мультфильм,Гари Труздейл,8.3,https://www.kinopoisk.ru/film/540/
Джон Ф. Кеннеди: Выстрелы в Далласе,JFK,1991,181,США,триллер,Оливер Стоун,7.9,https://www.kinopoisk.ru/film/1107/
Повелитель приливов,The Prince of Tides,1991,132,США,драма,Барбра Стрейзанд,7.3,https://www.kinopoisk.ru/film/23785/
Багси,Bugsy,1991,136,США,драма,Барри Левинсон,7.1,https://www.kinopoisk.ru/film/7623/
Пробуждение,Awakenings,1990,121,США,драма,Пенни Маршалл,8.4,https://www.kinopoisk.ru/film/2950/
Привидение,Ghost,1990,127,США,мелодрама,Джерри Цукер,8.2,https://www.kinopoisk.ru/film/1991/
Славные парни,Goodfellas,1990,140,США,драма,Мартин Скорсезе,8.1,https://www.kinopoisk.ru/film/350/
Танцующий с волками,Dances with Wolves,1990,181,США,драма,Кевин Костнер,8.1,https://www.kinopoisk.ru/film/2037/
Крестный отец 3,The Godfather: Part III,1990,170,США,боевик,Фрэнсис Форд Коппола,7.9,https://www.kinopoisk.ru/film/4500/
Общество мертвых поэтов,Dead Poets Society,1989,128,США,драма,Питер Уир,8.2,https://www.kinopoisk.ru/film/4996/
Моя левая нога,My Left Foot: The Story of Christy Brown,1989,103,Ирландия,драма,Джим Шеридан,7.9,https://www.kinopoisk.ru/film/18784/
Шофер мисс Дэйзи,Driving Miss Daisy,1989,99,США,драма,Брюс Бересфорд,7.6,https://www.kinopoisk.ru/film/6066/
Рожденный четвертого июля,Born on the Fourth of July,1989,145,США,драма,Оливер Стоун,7.6,https://www.kinopoisk.ru/film/7685/
Поле чудес,Field of Dreams,1989,107,США,фэнтези,Фил Олден Робинсон,7.2,https://www.kinopoisk.ru/film/8420/
Человек дождя,Rain Man,1988,133,США,драма,Барри Левинсон,8.2,https://www.kinopoisk.ru/film/519/
Опасные связи,Dangerous Liaisons,1988,119,США,драма,Стивен Фрирз,7.8,https://www.kinopoisk.ru/film/3810/
Миссисипи в огне,Mississippi Burning,1988,128,США,триллер,Алан Паркер,7.7,https://www.kinopoisk.ru/film/2970/
Деловая женщина,Working Girl,1988,109,США,драма,Майк Николс,7.3,https://www.kinopoisk.ru/film/2533/
Турист поневоле,The Accidental Tourist,1988,121,США,драма,Лоуренс Кэздан,6.8,https://www.kinopoisk.ru/film/4979/
Последний император,The Last Emperor,1987,163,Великобритания,биография,Бернардо Бертолуччи,7.9,https://www.kinopoisk.ru/film/7663/
Во власти Луны,Moonstruck,1987,102,США,драма,Норман Джуисон,7.4,https://www.kinopoisk.ru/film/20586/
Роковое влечение,Fatal Attraction,1987,119,США,триллер,Эдриан Лайн,7.2,https://www.kinopoisk.ru/film/8128/
Надежда и слава,Hope and Glory,1987,113,Великобритания,драма,Джон Бурмен,6.9,https://www.kinopoisk.ru/film/17782/
Теленовости,Broadcast News,1987,133,США,драма,Джеймс Л. Брукс,6.6,https://www.kinopoisk.ru/film/2536/
Взвод,Platoon,1986,120,США,военный,Оливер Стоун,8.0,https://www.kinopoisk.ru/film/468/
Дети тишины,Children of a Lesser God,1986,119,США,драма,Рэнда Хейнс,7.6,https://www.kinopoisk.ru/film/22322/
Ханна и её сестры,Hannah and Her Sisters,1986,103,США,драма,Вуди Аллен,7.5,https://www.kinopoisk.ru/film/4334/
Миссия,The Mission,1986,125,Великобритания,драма,Роланд Жоффе,7.4,https://www.kinopoisk.ru/film/7472/
Комната с видом,A Room with a View,1985,117,Великобритания,мелодрама,Джеймс Айвори,7.1,https://www.kinopoisk.ru/film/6742/
Цветы лиловые полей,The Color Purple,1985,154,США,драма,Стивен Спилберг,7.9,https://www.kinopoisk.ru/film/3749/
Из Африки,Out of Africa,1985,161,США,драма,Сидни Поллак,7.6,https://www.kinopoisk.ru/film/1895/
Поцелуй женщины-паука,Kiss of the Spider Woman,1985,120,Бразилия,драма,Эктор Бабенко,7.5,https://www.kinopoisk.ru/film/22323/
Свидетель,Witness,1985,112,США,триллер,Питер Уир,7.1,https://www.kinopoisk.ru/film/5524/
Честь семьи Прицци,Prizzi's Honor,1985,129,США,драма,Джон Хьюстон,7.0,https://www.kinopoisk.ru/film/4207/
Амадей,Amadeus,1984,160,США,драма,Милош Форман,8.2,https://www.kinopoisk.ru/film/397/
Поля смерти,The Killing Fields,1984,142,Великобритания,драма,Роланд Жоффе,7.3,https://www.kinopoisk.ru/film/569/
Место в сердце,Places in the Heart,1984,111,США,драма,Роберт Бентон,7.3,https://www.kinopoisk.ru/film/15934/
Поездка в Индию,A Passage to India,1984,164,Великобритания,драма,Дэвид Лин,6.8,https://www.kinopoisk.ru/film/8761/
Армейская история,A Soldier's Story,1984,101,США,драма,Норман Джуисон,6.8,https://www.kinopoisk.ru/film/15270/
Язык нежности,Terms of Endearment,1983,132,США,драма,Джеймс Л. Брукс,7.3,https://www.kinopoisk.ru/film/2561/
Костюмер,The Dresser,1983,118,Великобритания,драма,Питер Йетс,7.3,https://www.kinopoisk.ru/film/18210/
Парни что надо,The Right Stuff,1983,193,США,драма,Филип Кауфман,6.9,https://www.kinopoisk.ru/film/503/
Большое разочарование,The Big Chill,1983,105,США,драма,Лоуренс Кэздан,6.7,https://www.kinopoisk.ru/film/9247/
Нежное милосердие,Tender Mercies,1983,92,США,драма,Брюс Бересфорд,6.6,https://www.kinopoisk.ru/film/7200/
Ганди,Gandhi,1982,191,Великобритания,драма,Ричард Аттенборо,8.1,https://www.kinopoisk.ru/film/513/
Тутси,Tootsie,1982,116,США,комедия,Сидни Поллак,7.9,https://www.kinopoisk.ru/film/4520/
Инопланетянин,E.T. the Extra-Terrestrial,1982,115,США,фантастика,Стивен Спилберг,7.8,https://www.kinopoisk.ru/film/544/
Вердикт,The Verdict,1982,129,США,драма,Сидни Люмет,7.6,https://www.kinopoisk.ru/film/9548/
Пропавший без вести,Missing,1981,122,США,драма,Коста-Гаврас,7.3,https://www.kinopoisk.ru/film/7706/
Индиана Джонс: В поисках утраченного ковчега,Raiders of the Lost Ark,1981,115,США,приключения,Стивен Спилберг,8.0,https://www.kinopoisk.ru/film/339/
На Золотом пруду,On Golden Pond,1981,109,США,драма,Марк Райделл,7.8,https://www.kinopoisk.ru/film/7686/
Атлантик-Сити,Atlantic City,1980,104,Франция,драма,Луи Маль,7.0,https://www.kinopoisk.ru/film/2390/
Красные,Reds,1981,195,США,драма,Уоррен Битти,7.0,https://www.kinopoisk.ru/film/2808/
Огненные колесницы,Chariots of Fire,1981,125,Великобритания,драма,Хью Хадсон,6.8,https://www.kinopoisk.ru/film/7584/
Человек-слон,The Elephant Man,1980,125,США,драма,Дэвид Линч,8.1,https://www.kinopoisk.ru/film/464/
Бешеный бык,Raging Bull,1980,129,США,драма,Мартин Скорсезе,7.8,https://www.kinopoisk.ru/film/374/
Тэсс,Tess,1979,186,Великобритания,драма,Роман Полански,7.3,https://www.kinopoisk.ru/film/11639/
Обыкновенные люди,Ordinary People,1980,124,США,драма,Роберт Редфорд,7.2,https://www.kinopoisk.ru/film/2810/
Дочь шахтера,Coal Miner's Daughter,1980,124,США,драма,Майкл Аптед,7.1,https://www.kinopoisk.ru/film/13900/
Апокалипсис сегодня,Apocalypse Now,1979,194,США,военный,Фрэнсис Форд Коппола,8.1,https://www.kinopoisk.ru/film/354/
Крамер против Крамера,Kramer vs. Kramer,1979,105,США,драма,Роберт Бентон,8.0,https://www.kinopoisk.ru/film/1902/
Весь этот джаз,All That Jazz,1979,123,США,биография,Боб Фосси,7.7,https://www.kinopoisk.ru/film/7708/
Уходя в отрыв,Breaking Away,1979,101,США,драма,Питер Йетс,7.2,https://www.kinopoisk.ru/film/4102/
Норма Рэй,Norma Rae,1979,114,США,драма,Мартин Ритт,6.9,https://www.kinopoisk.ru/film/2626/
Охотник на оленей,The Deer Hunter,1978,183,США,драма,Майкл Чимино,7.9,https://www.kinopoisk.ru/film/428/
Полуночный экспресс,Midnight Express,1978,121,Великобритания,триллер,Алан Паркер,7.8,https://www.kinopoisk.ru/film/7687/
Возвращение домой,Coming Home,1978,127,США,драма,Хэл Эшби,7.1,https://www.kinopoisk.ru/film/3873/
Незамужняя женщина,An Unmarried Woman,1978,124,США,драма,Пол Мазурски,6.6,https://www.kinopoisk.ru/film/909/
Небеса могут подождать,Heaven Can Wait,1978,101,США,фэнтези,Уоррен Битти,6.6,https://www.kinopoisk.ru/film/6636/
Звёздные войны: Эпизод 4 – Новая надежда,Star Wars,1977,121,США,фантастика,Джордж Лукас,8.1,https://www.kinopoisk.ru/film/333/
Энни Холл,Annie Hall,1977,93,США,мелодрама,Вуди Аллен,7.8,https://www.kinopoisk.ru/film/390/
"До свиданья, дорогая",The Goodbye Girl,1977,111,США,драма,Херберт Росс,7.3,https://www.kinopoisk.ru/film/14920/
Джулия,Julia,1977,117,США,драма,Фред Циннеман,7.0,https://www.kinopoisk.ru/film/1904/
Поворотный пункт,The Turning Point,1977,119,США,драма,Херберт Росс,6.6,https://www.kinopoisk.ru/film/2564/
Рокки,Rocky,1976,120,США,драма,Джон Г. Эвилдсен,8.0,https://www.kinopoisk.ru/film/6462/
Таксист,Taxi Driver,1976,114,США,триллер,Мартин Скорсезе,7.8,https://www.kinopoisk.ru/film/358/
Телесеть,Network,1976,121,США,драма,Сидни Люмет,7.7,https://www.kinopoisk.ru/film/520/
Вся президентская рать,All the President's Men,1976,138,США,триллер,Алан Дж. Пакула,7.5,https://www.kinopoisk.ru/film/493/
На пути к славе,Bound for Glory,1976,147,США,биография,Хэл Эшби,6.6,https://www.kinopoisk.ru/film/2713/
Пролетая над гнездом кукушки,One Flew Over the Cuckoo's Nest,1975,133,США,драма,Милош Форман,8.5,https://www.kinopoisk.ru/film/336/
Барри Линдон,Barry Lyndon,1975,185,Великобритания,драма,Стэнли Кубрик,8.0,https://www.kinopoisk.ru/film/5032/
Собачий полдень,Dog Day Afternoon,1975,130,США,триллер,Сидни Люмет,7.7,https://www.kinopoisk.ru/film/500/
Челюсти,Jaws,1975,124,США,триллер,Стивен Спилберг,7.3,https://www.kinopoisk.ru/film/396/
Нэшвилл,Nashville,1975,160,США,драма,Роберт Олтмен,6.9,https://www.kinopoisk.ru/film/912/
Крестный отец 2,The Godfather: Part II,1974,202,США,драма,Фрэнсис Форд Коппола,8.5,https://www.kinopoisk.ru/film/327/
Китайский квартал,Chinatown,1974,130,США,триллер,Роман Полански,7.7,https://www.kinopoisk.ru/film/365/
Ленни,Lenny,1974,111,США,драма,Боб Фосси,7.7,https://www.kinopoisk.ru/film/4524/
Разговор,The Conversation,1974,113,США,триллер,Фрэнсис Форд Коппола,7.6,https://www.kinopoisk.ru/film/461/
Вздымающийся ад,The Towering Inferno,1974,165,США,боевик,Джон Гиллермин,7.2,https://www.kinopoisk.ru/film/8145/
Афера,The Sting,1973,129,США,драма,Джордж Рой Хилл,8.1,https://www.kinopoisk.ru/film/383/
Шепоты и крики,Viskningar och rop,1972,91,Швеция,драма,Ингмар Бергман,7.9,https://www.kinopoisk.ru/film/66517/
Изгоняющий дьявола,The Exorcist,1973,122,США,ужасы,Уильям Фридкин,7.7,https://www.kinopoisk.ru/film/491/
Американские граффити,American Graffiti,1973,110,США,драма,Джордж Лукас,7.2,https://www.kinopoisk.ru/film/7332/
С шиком,A Touch of Class,1973,109,Великобритания,мелодрама,Мелвин Фрэнк,6.6,https://www.kinopoisk.ru/film/10959/
Крестный отец,The Godfather,1972,175,США,драма,Фрэнсис Форд Коппола,8.7,https://www.kinopoisk.ru/film/325/
Кабаре,Cabaret,1972,124,США,драма,Боб Фосси,8.0,https://www.kinopoisk.ru/film/7745/
Эмигранты,Utvandrarna,1971,191,Швеция,драма,Ян Труэль,7.4,https://www.kinopoisk.ru/film/15172/
Избавление,Deliverance,1972,109,США,триллер,Джон Бурмен,7.2,https://www.kinopoisk.ru/film/550/
Саундер,Sounder,1972,105,США,драма,Мартин Ритт,6.5,https://www.kinopoisk.ru/film/31812/
Последний киносеанс,The Last Picture Show,1971,118,США,драма,Питер Богданович,8.0,https://www.kinopoisk.ru/film/1864/
Заводной апельсин,A Clockwork Orange,1971,137,Великобритания,фантастика,Стэнли Кубрик,7.9,https://www.kinopoisk.ru/film/391/
Скрипач на крыше,Fiddler on the Roof,1971,181,США,мюзикл,Норман Джуисон,7.8,https://www.kinopoisk.ru/film/8274/
Французский связной,The French Connection,1971,104,США,криминал,Уильям Фридкин,7.6,https://www.kinopoisk.ru/film/567/
Николай и Александра,Nicholas and Alexandra,1971,183,Великобритания,драма,Франклин Дж. Шаффнер,7.0,https://www.kinopoisk.ru/film/3598/
История любви,Love Story,1970,100,США,драма,Артур Хиллер,7.9,https://www.kinopoisk.ru/film/5035/
Пять легких пьес,Five Easy Pieces,1970,98,США,драма,Боб Рейфелсон,7.4,https://www.kinopoisk.ru/film/4218/
Военно-полевой госпиталь,MASH,1969,116,США,драма,Роберт Олтмен,7.3,https://www.kinopoisk.ru/film/537/
Аэропорт,Airport,1970,137,США,боевик,Джордж Ситон,7.1,https://www.kinopoisk.ru/film/8160/
Паттон,Patton,1970,172,США,драма,Франклин Дж. Шаффнер,7.0,https://www.kinopoisk.ru/film/433/
Буч Кэссиди и Сандэнс Кид,Butch Cassidy and the Sundance Kid,1969,110,США,вестерн,Джордж Рой Хилл,8.0,https://www.kinopoisk.ru/film/421/
Полуночный ковбой,Midnight Cowboy,1969,113,США,драма,Джон Шлезингер,7.7,https://www.kinopoisk.ru/film/506/
Дзета,Z,1969,127,Франция,триллер,Коста-Гаврас,7.7,https://www.kinopoisk.ru/film/8344/
Тысяча дней Анны,Anne of the Thousand Days,1969,145,Великобритания,драма,Чарльз Джэррот,7.6,https://www.kinopoisk.ru/film/7688/
"Хеллоу, Долли!","Hello, Dolly!",1969,146,США,мюзикл,Джин Келли,7.5,https://www.kinopoisk.ru/film/13177/
Ромео и Джульетта,Romeo and Juliet,1968,138,Великобритания,драма,Франко Дзеффирелли,8.2,https://www.kinopoisk.ru/film/15204/
Смешная девчонка,Funny Girl,1968,151,США,мюзикл,Уильям Уайлер,8.0,https://www.kinopoisk.ru/film/10304/
Лев зимой,The Lion in Winter,1968,134,Великобритания,драма,Энтони Харви,7.7,https://www.kinopoisk.ru/film/514/
Оливер!,Oliver!,1968,153,Великобритания,мюзикл,Кэрол Рид,7.3,https://www.kinopoisk.ru/film/7664/
"Рэйчел, Рэйчел","Rachel, Rachel",1968,101,США,драма,Пол Ньюман,6.5,https://www.kinopoisk.ru/film/13974/
Выпускник,The Graduate,1967,105,США,драма,Майк Николс,7.9,https://www.kinopoisk.ru/film/422/
Бонни и Клайд,Bonnie and Clyde,1967,111,США,криминал,Артур Пенн,7.7,https://www.kinopoisk.ru/film/516/
Полуночная жара,In the Heat of the Night,1967,110,США,драма,Норман Джуисон,7.6,https://www.kinopoisk.ru/film/547/
"Угадай, кто придет к обеду?",Guess Who's Coming to Dinner,1967,108,США,драма,Стэнли Крамер,7.5,https://www.kinopoisk.ru/film/15576/
Доктор Дулиттл,Doctor Dolittle,1967,152,США,мюзикл,Ричард Флейшер,6.2,https://www.kinopoisk.ru/film/25792/
Кто боится Вирджинии Вульф?,Who's Afraid of Virginia Woolf?,1966,131,США,драма,Майк Николс,7.8,https://www.kinopoisk.ru/film/490/
Человек на все времена,A Man for All Seasons,1966,120,Великобритания,драма,Фред Циннеман,7.4,https://www.kinopoisk.ru/film/564/
Песчаная галька,The Sand Pebbles,1966,182,США,драма,Роберт Уайз,7.3,https://www.kinopoisk.ru/film/5459/
Русские идут! Русские идут!,The Russians Are Coming the Russians Are Coming,1966,126,США,комедия,Норман Джуисон,7.1,https://www.kinopoisk.ru/film/15605/
Элфи,Alfie,1966,114,Великобритания,драма,Льюис Гилберт,7.1,https://www.kinopoisk.ru/film/16553/
Звуки музыки,The Sound of Music,1965,172,США,мюзикл,Роберт Уайз,8.0,https://www.kinopoisk.ru/film/7665/
Корабль дураков,Ship of Fools,1965,149,США,драма,Стэнли Крамер,7.7,https://www.kinopoisk.ru/film/16755/
Дорогая,Darling,1965,128,Великобритания,драма,Джон Шлезингер,7.4,https://www.kinopoisk.ru/film/6644/
Доктор Живаго,Doctor Zhivago,1965,197,Италия,мелодрама,Дэвид Лин,7.1,https://www.kinopoisk.ru/film/6643/
Тысяча клоунов,A Thousand Clowns,1965,118,США,драма,Фред Коу,6.4,https://www.kinopoisk.ru/film/13573/
Моя прекрасная леди,My Fair Lady,1964,170,США,мюзикл,Джордж Кьюкор,8.0,https://www.kinopoisk.ru/film/7666/
"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1963,95,Великобритания,комедия,Стэнли Кубрик,8.0,https://www.kinopoisk.ru/film/334/
Грек Зорба,Alexis Zorbas,1964,142,Греция,драма,Михалис Какояннис,7.7,https://www.kinopoisk.ru/film/10198/
Бекет,Becket,1964,148,Великобритания,драма,Питер Гленвилл,7.6,https://www.kinopoisk.ru/film/7689/
Мэри Поппинс,Mary Poppins,1964,139,США,мюзикл,Роберт Стивенсон,7.6,https://www.kinopoisk.ru/film/8156/
Клеопатра,Cleopatra,1963,243,США,биография,Джозеф Лео Манкевич,7.8,https://www.kinopoisk.ru/film/17914/
"Америка, Америка",America America,1963,174,США,драма,Элиа Казан,7.1,https://www.kinopoisk.ru/film/15046/
Полевые лилии,Lilies of the Field,1963,94,США,драма,Ральф Нельсон,7.0,https://www.kinopoisk.ru/film/20571/
Война на Диком Западе,How the West Was Won,1962,164,США,вестерн,Джон Форд,6.9,https://www.kinopoisk.ru/film/1350/
Том Джонс,Tom Jones,1963,129,Великобритания,мелодрама,Тони Ричардсон,6.2,https://www.kinopoisk.ru/film/7667/
Убить пересмешника,To Kill a Mockingbird,1962,129,США,драма,Роберт Маллиган,8.0,https://www.kinopoisk.ru/film/357/
Лоуренс Аравийский,Lawrence of Arabia,1962,216,Великобритания,драма,Дэвид Лин,8.0,https://www.kinopoisk.ru/film/347/
Мятеж на Баунти,Mutiny on the Bounty,1962,178,США,драма,Льюис Майлстоун,7.5,https://www.kinopoisk.ru/film/7156/
Самый длинный день,The Longest Day,1962,178,США,военный,Кен Эннакин,7.2,https://www.kinopoisk.ru/film/1351/
Музыкант,The Music Man,1962,151,США,мюзикл,Мортон ДаКоста,5.8,https://www.kinopoisk.ru/film/8275/
Нюрнбергский процесс,Judgment at Nuremberg,1961,179,США,драма,Стэнли Крамер,8.2,https://www.kinopoisk.ru/film/13738/
Бильярдист,The Hustler,1961,134,США,драма,Роберт Россен,7.8,https://www.kinopoisk.ru/film/459/
Вестсайдская история,West Side Story,1961,153,США,мюзикл,Роберт Уайз,7.2,https://www.kinopoisk.ru/film/1289/
Пушки острова Наварон,The Guns of Navarone,1961,150,Великобритания,военный,Дж. Ли Томпсон,7.1,https://www.kinopoisk.ru/film/7691/
Фанни,Fanny,1961,134,США,драма,Джошуа Логан,6.1,https://www.kinopoisk.ru/film/25592/
Квартира,The Apartment,1960,125,США,драма,Билли Уайлдер,8.0,https://www.kinopoisk.ru/film/404/
Элмер Гантри,Elmer Gantry,1960,146,США,драма,Ричард Брукс,7.2,https://www.kinopoisk.ru/film/18055/
Аламо,The Alamo,1960,162,США,драма,Джон Уэйн,6.6,https://www.kinopoisk.ru/film/1356/
Бродяги,The Sundowners,1960,133,Великобритания,драма,Фред Циннеман,6.3,https://www.kinopoisk.ru/film/3015/
Сыновья и любовники,Sons and Lovers,1960,103,Великобритания,драма,Джек Кардифф,5.8,https://www.kinopoisk.ru/film/14568/
Бен-Гур,Ben-Hur,1959,212,США,драма,Уильям Уайлер,8.1,https://www.kinopoisk.ru/film/436/
История монахини,The Nun's Story,1959,149,США,драма,Фред Циннеман,8.1,https://www.kinopoisk.ru/film/3016/
Анатомия убийства,Anatomy of a Murder,1959,154,США,драма,Отто Преминджер,7.6,https://www.kinopoisk.ru/film/8343/
Путь в высшее общество,Room at the Top,1958,117,Великобритания,драма,Джек Клейтон,7.6,https://www.kinopoisk.ru/film/14086/
Дневник Анны Франк,The Diary of Anne Frank,1959,180,США,драма,Джордж Стивенс,7.4,https://www.kinopoisk.ru/film/16557/
Кошка на раскаленной крыше,Cat on a Hot Tin Roof,1958,108,США,драма,Ричард Брукс,7.9,https://www.kinopoisk.ru/film/13970/
Скованные одной цепью,The Defiant Ones,1958,96,США,драма,Стэнли Крамер,7.7,https://www.kinopoisk.ru/film/3084/
За отдельными столиками,Separate Tables,1958,100,США,драма,Делберт Манн,7.0,https://www.kinopoisk.ru/film/12440/
Тетушка Мэйм,Auntie Mame,1958,143,США,драма,Мортон ДаКоста,6.7,https://www.kinopoisk.ru/film/17349/
Жижи,Gigi,1958,115,США,мюзикл,Винсент Миннелли,6.3,https://www.kinopoisk.ru/film/7668/
12 разгневанных мужчин,12 Angry Men,1956,96,США,драма,Сидни Люмет,8.5,https://www.kinopoisk.ru/film/346/
Свидетель обвинения,Witness for the Prosecution,1957,116,США,драма,Билли Уайлдер,8.2,https://www.kinopoisk.ru/film/489/
Мост через реку Квай,The Bridge on the River Kwai,1957,155,Великобритания,драма,Дэвид Лин,7.7,https://www.kinopoisk.ru/film/369/
Сайонара,Sayonara,1957,147,США,драма,Джошуа Логан,7.3,https://www.kinopoisk.ru/film/7160/
Пэйтон Плейс,Peyton Place,1957,157,США,драма,Марк Робсон,7.0,https://www.kinopoisk.ru/film/26309/
Гигант,Giant,1956,201,США,драма,Джордж Стивенс,7.5,https://www.kinopoisk.ru/film/11556/
Десять заповедей,The Ten Commandments,1956,220,США,драма,Сесил Б. ДеМилль,7.4,https://www.kinopoisk.ru/film/8271/
Вокруг Света за 80 дней,Around the World in Eighty Days,1956,167,США,приключения,Майкл Андерсон,7.1,https://www.kinopoisk.ru/film/2588/
Король и я,The King and I,1956,133,США,мюзикл,Уолтер Лэнг,6.9,https://www.kinopoisk.ru/film/8277/
